x,y
-40,25.08
0,25.08
0,-30.92
200,-34.24
400,-32.97
600,-32.31
800,-32.31
1000,-30.69
1200,-28.25
1400,-27.09
1600,-27.09
1800,-25.9
2000,-27.27
2200,-26.31
2400,-26.31
2600,-25.59
2800,-25.04
3000,-25.32
3200,-26.33
3400,-27.09
3600,-30.99
3800,-31.73
4000,-32.22
4200,-33.12
4400,-33.12
4600,-33.19
4800,-33.12
5000,-33.08
5200,-33.08
5400,-33.76
5600,-33.42
5655,-33.42
5655,-34.34
5655,-34.34
5855,-34.1
6055,-34.03
6255,-34.03
6455,-33.24
6655,-30.89
6855,-29.34
7055,-21.73
7255,-18.28
7455,-10.15
7655,-8.09
7855,-8.81
8055,-8.81
8255,-10.34
8455,-10.74
8655,-11.35
8855,-14.65
9055,-15.26
9255,-19.94
9455,-19.94
9655,-20.89
9855,-27.55
10055,-28.22
10255,-30.92
10455,-31.5
10655,-32.21
10855,-32.29
11055,-32.41
11255,-32.21
11455,-33.7
11655,-33.93
11855,-34.21
12055,-33.82
12255,-33.74
12455,-32.85
12655,-33.35
12855,-34.38
13055,-33.93
13255,-34.86
13455,-34.28
13655,-33.08
13855,-33.08
14055,-32.74
14255,-31.54
14455,-31.79
14655,-30.4
14855,-28.88
15055,-24.58
15255,-15.65
15455,-11.66
15655,-6.49
15855,-6.62
16055,-6.61
16255,-8.15
16455,-9.31
16655,-9.31
16855,-12.09
17055,-13.73
17255,-15.75
17455,-22.75
17655,-26.82
17855,-28.5
18055,-33.01
18255,-33.01
18455,-33.67
18655,-34.31
18855,-33.97
19055,-33.25
19255,-33.56
19455,-34.15
19655,-34.81
19855,-34.7
20055,-36.56
20255,-40.32
20455,-41.13
20655,-40.77
20855,-40.1
21055,-40.1
21255,-39.61
21455,-37.49
21655,-36.78
21855,-36.33
22055,-36.38
22255,-35.51
22455,-36.74
22655,-36.19
22855,-36.1
23055,-34.96
23255,-36.44
23455,-36.03
23655,-35.35
23855,-35.35
24055,-33.39
24255,-32.6
24455,-33.12
24655,-32.28
24855,-33.15
25055,-36.55
25255,-38.12
25455,-38.3
25655,-38.72
25855,-38.85
26055,-38.85
26255,-39.42
26455,-39.42
26655,-39.69
26855,-39.17
27055,-38.74
27255,-36.94
27455,-36.78
27655,-35.84
27855,-35.07
28055,-34.34
28255,-34.92
28455,-35.25
28655,-34.28
28855,-34.47
29055,-36.34
29255,-36.34
29455,-37.45
29655,-37.9
29855,-38.03
30055,-36.9
30255,-37.52
30455,-37.99
30655,-37.34
30855,-37.6
31055,-36.77
31255,-36.76
31455,-36.47
31655,-36.85
31855,-35.59
32055,-34.56
32255,-32.12
32455,-31.65
32655,-32.26
32855,-33.32
33055,-35.24
33255,-35.49
33455,-35.78
33655,-36
33855,-36
34055,-36.28
34255,-36.24
34455,-35.28
34655,-35.24
34855,-35.01
35055,-35.08
35255,-35.08
35455,-34.64
35655,-35.55
35855,-35.55
36055,-35.92
36255,-34.91
36455,-33.94
36655,-34.03
36855,-33.69
37055,-34.22
37255,-33.37
37455,-33.34
37655,-31.76
37855,-31.34
38055,-30.86
38255,-33.54
38455,-33.57
38655,-33.57
38855,-34.72
39055,-34.85
39255,-34.18
39455,-34.18
39655,-33.15
39855,-31.77
40055,-32.67
40255,-30.7
40455,-33.67
40655,-33.06
40855,-33.06
41055,-32.97
41255,-33.52
41455,-33.31
41655,-33.42
41855,-33.19
42055,-32.9
42255,-31.57
42455,-31.45
42655,-31.23
42855,-30.88
43055,-31.6
43255,-31.23
43455,-31.4
43655,-30.97
43855,-30.53
44055,-30.55
44255,-30.14
44455,-30.14
44655,-30.16
44855,-29.2
45055,-29.82
45255,-30.17
45455,-29.76
45655,-29.53
45855,-29.53
46055,-29.35
46255,-29.23
46455,-29.23
46655,-29.13
46855,-28.52
47055,-28.4
47255,-28.89
47455,-28.13
47655,-28.13
47855,-27.5
48055,-27.76
48255,-28.31
48455,-28.36
48655,-27.77
48855,-27.22
49055,-27.22
49255,-26.08
49455,-25.55
49655,-25.38
49855,-25.38
50055,-25.38
50255,-25.32
50455,-24.82
50655,-25
50855,-25.39
51055,-25.09
51255,-25.09
51455,-25.06
51655,-24.7
51855,-24.18
52055,-23.82
52255,-23.82
52455,-23.9
52655,-23.71
52855,-23.42
53055,-23.26
53255,-23
53455,-23
53655,-22.57
53855,-22.1
54055,-22.15
54255,-22.05
54455,-22.05
54655,-21.67
54855,-21.44
55055,-21.83
55255,-21.59
55455,-21.39
55655,-21.39
55855,-21.07
56055,-21.15
56255,-20.52
56455,-19.95
56655,-19.95
56855,-19.91
57055,-19.98
57255,-19.76
57455,-19.87
57655,-19.38
57855,-19.38
58055,-19.02
58255,-18.3
58455,-18.44
58655,-19.25
58855,-19.37
59055,-18.15
59255,-19.31
59455,-18.81
59655,-18.81
59855,-18.97
60055,-18.97
60255,-18.57
60455,-18.25
60655,-17.78
60855,-16.93
61055,-16.93
61255,-15.74
61455,-15.11
61655,-15.52
61855,-15.69
62055,-14.72
62255,-13.6
62455,-13.28
62655,-13.28
62855,-9.94
63055,-9.94
63255,-8.88
63455,-8.97
63655,-11.41
63855,-11.49
64055,-11.43
64255,-11.16
64455,-10.73
64655,-10.23
64855,-9.68
65055,-8.22
65255,-5.93
65455,-2.82
65655,-1.793
65855,2.8
65939,4.713
65939,23.262
66239,28.262
66279,28.262
